iter	MAE
316	1154305.426
317	1153799.071
318	1152049.647
319	1151685.275
320	1151034.886
321	1150438.61
322	1149216.123
323	1147753.69
324	1147175.752
325	1145770.398
326	1144803.384
327	1144273.743
328	1143736.465
329	1142891.387
330	1142647.508
331	1142148.564
332	1140286.614
333	1139219.294
334	1134108.552
335	1133108.3
336	1132655.066
337	1132160.201
338	1130714.193
339	1127419.462
340	1126212.766
341	1117269.634
342	1116958.211
343	1116560.455
344	1115577.861
345	1114167.992
346	1111768.319
347	1111437.841
348	1110793.148
349	1110490.763
350	1109946.659
351	1109292.616
352	1107232.44
353	1106692.956
354	1105695.229
355	1104897.96
356	1103414.665
357	1102372.622
358	1100375.167
359	1099035.54
360	1098728.28
361	1097998.894
362	1097091.955
363	1096894.28
364	1096729.88
365	1096371.513
366	1095057.144
367	1093161.864
368	1091792.54
369	1091209.376
370	1090643.978
371	1090313.076
372	1089765.892
373	1087150.204
374	1085623.001
375	1084790.36
376	1084193.649
377	1083443.357
378	1082762.464
379	1081718.474
380	1081548.09
381	1079936.928
382	1079171.406
383	1076572.904
384	1075690.888
385	1070753.16
386	1070352.004
387	1070093.735
388	1066982.917
389	1066637.351
390	1065616.368
391	1064912.17
392	1063898.524
393	1063586.203
394	1062454.823
395	1061814.475
396	1061365.621
397	1060976.062
398	1058935.179
399	1058830.114
400	1058446.759
401	1058175.763
402	1058026.939
403	1057746.462
404	1056806.176
405	1056355.304
406	1054076.989
407	1053654.457
408	1052517.577
409	1052351.878
410	1051028.011
411	1050515.193
412	1048455.383
413	1048404.979
414	1047903.312
415	1046371.16
416	1043568.178
417	1042630.894
418	1041565.858
419	1040468.229
420	1040244.513
421	1039818.175
422	1039623.868
423	1038565.844
424	1034796.799
425	1034593.424
426	1033997.516
427	1032966.132
428	1031842.439
429	1030867.988
430	1023741.729
431	1022612.351
432	1022348.442
433	1021761.89
434	1021150.161
435	1020713.784
436	1020208.383
437	1019941.695
438	1019590.637
439	1018267.133
440	1018048.932
441	1012417.399
442	1010707.962
443	1010444.158
444	1009674.276
445	1009595.604
446	1009075.485
447	1008261.965
448	1007955.07
449	1007831.308
450	1006236.939
451	1005854.527
452	1005190.845
453	1005053.776
454	1003838.571
455	1002900.757
456	1002131.255
457	1000792.713
458	999709.8202
459	998826.6435
460	998312.7857
461	998053.6609
462	997317.6399
463	996401.6428
464	995832.3559
465	995705.8764
466	995444.1253
467	995153.4615
468	994957.3724
469	994347.8241
470	993249.9874
471	992597.8318
472	991986.525
473	991494.0356
474	990858.9775
475	990338.7127
476	989366.8747
477	988457.0264
478	987673.5765
479	987479.7374
480	987284.3416
481	985960.5844
482	985583.7642
483	985371.3549
484	984961.6039
485	984583.0471
486	984431.9359
487	983513.8301
488	983317.079
489	982933.0439
490	982504.2474
491	982108.1448
492	981663.8773
493	980868.0992
494	980697.2197
495	976524.673
496	975597.0823
497	975365.632
498	974506.4336
499	973919.3651
500	972541.1867
501	972315.6368
502	972141.8187
503	972001.414
504	971703.6481
505	971506.0913
506	971323.8426
507	971145.2033
508	970840.0731
509	970677.2855
510	970317.0167
511	970214.7545
512	969115.6073
513	969038.8457
514	968022.6148
515	966879.4789
516	966854.2045
517	965842.8992
518	964297.5281
519	963749.8602
520	963349.6191
521	962976.0573
522	961219.0137
523	960972.9577
524	960152.7557
525	959920.5038
526	959014.6689
527	958687.8463
528	954703.2157
529	954420.6969
530	954149.2386
531	953700.998
532	953256.7375
533	953084.019
534	952298.4345
535	951760.7105
536	951450.3676
537	951339.0869
538	951170.4774
539	951026.9662
540	950638.7402
541	950523.5966
542	949182.4154
543	949023.1489
544	948624.1845
545	946961.7919
546	946470.7282
547	945891.8565
548	945524.5709
549	944868.4243
550	944452.6283
551	944018.7157
552	942378.7537
553	942009.6895
554	941809.6749
555	941141.0461
556	940803.983
557	939986.042
558	939830.5159
559	939320.9364
560	936801.7498
561	936227.4897
562	935939.0363
563	935271.6518
564	934680.4722
565	934475.8993
566	933152.3919
567	932633.9771
568	931956.0285
569	931856.8146
570	930436.7649
571	930251.4434
572	930109.0818
573	927275.8369
574	926531.1072
575	925709.1391
576	925200.9745
577	924972.8559
578	924309.4455
579	923476.3468
580	923175.69
581	922640.3376
582	922005.2772
583	921924.5234
584	921167.5021
585	920961.0279
586	920461.0278
587	919924.2117
588	919585.5555
589	919310.9672
590	918652.936
591	916357.9839
592	913347.4518
593	913044.8844
594	911218.8665
595	910807.4723
596	910538.2854
597	910389.6721
598	910137.8638
599	909796.0676
600	909158.5885
601	908329.7204
602	907445.605
603	907260.3104
604	906349.5757
605	904345.4063
606	903738.0568
607	902989.6967
608	902583.3168
609	902291.1286
610	901524.2143
611	901466.0786
612	901046.5029
613	900582.1512
614	900091.1466
615	899915.7498
616	898950.0565
617	898446.6097
618	898318.3084
619	897611.6647
620	897276.7086
621	897032.7062
622	896468.6651
623	895384.8415
624	895161.0222
625	894945.0285
626	894752.0415
627	894359.0742
628	894190.529
629	894001.2463
630	893263.1108
631	890319.62
632	889908.7691
633	889678.0862
634	889439.0805
635	888641.96
636	887709.4517
637	887601.368
638	887541.2035
639	886015.8562
640	885155.8997
641	882669.0509
642	882476.4259
643	882241.0436
644	880853.5092
645	880586.2762
646	879448.7967
647	879016.8372
648	878813.0553
649	877599.8082
650	877406.6963
651	877170.7574
652	876920.7095
653	876498.9615
654	876192.9784
655	874754.61
656	874186.1411
657	873837.8008
658	873801.4959
659	873513.6137
660	873242.8213
661	872858.4268
662	870982.9542
663	870848.9516
664	869841.3099
665	866171.7068
666	865693.9913
667	865280.0721
668	864915.8957
669	864503.1937
670	864239.7578
671	864124.0194
672	863822.6913
673	863646.861
674	863403.6712
675	862384.7404
676	861705.9651
677	861333.0355
678	860850.8655
679	860511.4024
680	860402.1623
681	859761.7039
682	859562.3985
683	858501.7552
684	858097.0413
685	857730.4156
686	857115.8284
687	856288.2154
688	855744.5971
689	853535.1123
690	853356.9729
691	852705.6655
692	852464.3975
693	851702.8465
694	851416.2175
695	851037.2925
696	850981.9002
697	850688.7901
698	850513.6377
699	850361.157
700	849993.361
701	849147.1935
702	848928.0413
703	848622.84
704	847840.4328
705	847464.6525
706	847242.0422
707	846571.6701
708	846334.7917
709	846154.5926
710	846029.9268
711	845352.8646
712	845208.7593
713	841532.2974
714	841166.9839
715	840837.5127
716	840209.8499
717	840025.0971
718	839901.2066
719	833628.6262
720	833186.976
721	832717.0165
722	830901.8614
723	830462.8035
724	829914.3793
725	828988.7355
726	828762.8302
727	828585.3177
728	828410.6083
729	827566.1986
730	826965.8835
731	826592.3769
732	826341.4133
733	825909.0135
734	825533.5428
735	825141.0022
736	824833.2402
737	824706.6283
738	824646.9785
739	824339.4541
740	823662.6354
741	822787.0265
742	822160.78
743	821965.0876
744	821833.9529
745	821760.6508
746	821591.257
747	821343.4337
748	821175.1405
749	820884.8833
750	820727.5515
751	820478.276
752	820328.2102
753	820074.9171
754	819864.4493
755	819749.3247
756	819687.9318
757	819588.3821
758	819057.9702
759	818866.685
760	813564.0889
761	813273.0841
762	813169.6352
763	812956.5072
764	812858.7287
765	812459.4464
766	812013.609
767	811850.9679
768	811693.9583
769	811538.2782
770	811389.1877
771	806504.9823
772	806383.0042
773	806374.9874
774	805702.7915
775	804732.2243
776	804225.8259
777	803874.8746
778	803657.9269
779	803184.0977
780	802972.3325
781	802837.7059
782	802370.2198
783	802258.0614
784	802079.207
785	802034.9345
786	801769.8494
787	801636.3219
788	801571.29
789	801399.4799
790	800762.4633
791	800248.5488
792	799905.6774
793	799763.0741
794	799648.014
795	799409.3692
796	799228.1658
797	798994.0958
798	798790.3467
799	797874.5557
800	797720.2512
801	797662.504
802	797346.9554
803	797196.743
804	796875.6486
805	796715.4935
806	796604.3147
807	796439.4091
808	796053.2595
809	795967.5702
810	792854.821
811	792670.6787
812	792593.8623
813	791879.8164
814	791704.9171
815	790441.9348
816	790093.4451
817	789993.2063
818	789767.9995
819	789297.4858
820	788541.0407
821	788264.2605
822	788015.8814
823	787750.504
824	787251.1701
825	786924.573
826	786909.0194
827	786749.4597
828	786436.8692
829	786348.9939
830	786020.7242
831	785579.6666
832	785445.3393
833	782918.3417
834	782039.0383
835	781901.5112
836	781765.8016
837	781470.0072
838	781006.5468
839	780812.3455
840	780736.8311
841	780553.0306
842	780252.1581
843	779616.6704
844	779446.783
845	777590.0454
846	777009.0691
847	776942.6908
848	776676.0249
849	776515.0846
850	776390.6898
851	776377.4929
852	775226.3137
853	774989.0852
854	774931.4465
855	774694.2405
856	774671.0568
857	774421.9533
858	773991.5952
859	773741.7557
860	773604.1714
861	773236.1389
862	773013.4319
863	772820.8385
864	772167.2071
865	772112.9122
866	771777.888
867	771691.1275
868	771600.6691
869	771549.8471
870	771207.806
871	771159.1659
872	771105.4748
873	770808.4114
874	770144.8383
875	769934.0912
876	769238.6155
877	769082.9456
878	768953.2066
879	768806.2553
880	768538.0601
881	768102.6022
882	768083.8801
883	767815.9
884	767452.522
885	767169.1664
886	767142.929
887	766443.2226
888	766431.7214
889	765700.0486
890	765550.7376
891	765448.3437
892	765277.7766
893	764987.8971
894	764894.425
895	764522.1179
896	764260.3428
897	764119.6174
898	764019.7311
899	762763.159
900	762546.1625
901	762368.6032
902	762188.0505
903	759684.476
904	759133.0825
905	759002.8245
906	758842.246
907	758833.8888
908	758299.6914
909	758133.3171
910	758027.746
911	757676.9762
912	757466.446
913	757386.6131
914	757314.6398
915	756963.7994
916	756754.5564
917	756552.8529
918	756422.4179
919	756334.9748
920	755675.0703
921	755551.8048
922	755321.2616
923	755272.8225
924	755199.0894
925	755146.0825
926	755102.3549
927	755048.9848
928	754976.9548
929	754746.3552
930	754641.3766
931	754363.7415
932	754184.1542
933	753528.6753
934	753054.1444
935	752828.2932
936	752590.0599
937	752439.9181
938	752415.4981
939	752309.7688
940	752293.1589
941	752036.2046
942	751889.6106
943	751082.3486
944	751023.114
945	750712.6771
946	750603.3873
947	749990.1824
948	749950.4141
949	749766.1612
950	749492.9104
951	748459.8563
952	748400.6101
953	748296.2199
954	747391.6748
955	747344.0798
956	747273.7628
957	747162.5069
958	746831.1244
959	746672.535
960	746291.132
961	746275.1935
962	746181.3635
963	745894.1069
964	745847.9316
965	745534.6867
966	745191.9357
967	745020.8608
968	744916.5965
969	744703.5764
970	744580.8583
971	744332.8527
972	744191.7164
973	743801.1328
974	743781.2859
975	743735.693
976	743530.7835
977	743477.572
978	743327.0134
979	743106.293
980	742995.4764
981	742535.2345
982	742403.7693
983	741948.9201
984	741777.2288
985	741691.1121
986	741622.9212
987	741608.393
988	741242.5374
989	741005.4292
990	740014.4196
991	739926.1219
992	739761.1131
993	739718.5408
994	739711.1723
995	739592.3707
996	738809.0455
997	738431.6016
998	738386.2213
999	738346.4926
1000	738189.6603
1001	737871.0741
1002	737809.2999
1003	737753.1646
1004	737551.0985
1005	737447.1906
1006	737028.2493
1007	736919.3856
1008	736611.9864
1009	736544.8652
1010	736390.5535
1011	736309.0989
1012	735722.4489
1013	735650.0133
1014	735452.1258
1015	735280.7813
1016	735010.2889
1017	734664.0216
1018	734601.2812
1019	734510.6418
1020	734431.499
1021	734408.1371
1022	734359.2925
1023	734157.9946
1024	734063.5788
1025	734002.3307
1026	733922.7495
1027	733913.5679
1028	733247.5103
1029	733213.4623
1030	733137.759
1031	733089.6611
1032	733060.4767
1033	732928.67
1034	732731.191
1035	732441.3488
1036	732388.1997
1037	732349.8876
1038	732265.9962
1039	731803.012
1040	731709.6565
1041	731204.2829
1042	731129.61
1043	731096.0648
1044	730965.9927
1045	730732.5571
1046	730680.2345
1047	730644.016
1048	730463.6423
1049	730418.1413
1050	730402.9973
1051	730360.644
1052	730292.3077
1053	729985.8281
1054	729892.8724
1055	729758.5121
1056	729721.9328
1057	729636.1694
1058	728037.6519
1059	724731.1487
1060	724544.7118
1061	724345.653
1062	724199.5857
1063	724185.5547
1064	724067.957
1065	724018.5967
1066	723917.8649
1067	723062.582
1068	722933.2527
1069	722837.4104
1070	722513.1614
1071	722185.7385
1072	722132.5139
1073	721936.994
1074	721924.7653
1075	721281.4775
1076	721255.3611
1077	721216.2435
1078	721178.7778
1079	720973.2701
1080	720928.212
1081	720887.1079
1082	720839.9289
1083	720446.8708
1084	720413.6211
1085	720223.1849
1086	718853.0127
1087	718708.2245
1088	718536.9763
1089	718517.3709
1090	718444.8298
1091	718276.369
1092	718155.3842
1093	718014.0164
1094	717455.3152
1095	717020.972
1096	716764.602
1097	716710.4873
1098	716500.6645
1099	716331.3356
1100	716307.8724
1101	716256.5536
1102	716202.9984
1103	716062.1974
1104	715727.1169
1105	715492.2479
1106	715425.9858
1107	715338.2692
1108	715173.1777
1109	715126.1365
1110	715043.4173
1111	714929.4547
1112	714832.2117
1113	714633.4169
1114	714565.2746
1115	714513.2995
1116	714373.5823
1117	714262.5782
1118	714169.5376
1119	714057.5269
1120	713814.0523
1121	713804.5937
1122	713692.2981
1123	713545.6152
1124	713394.3785
1125	713317.8027
1126	713102.5696
1127	713000.85
1128	712966.0243
1129	712905.222
1130	712821.4648
1131	712105.0927
1132	712042.7203
1133	711938.3195
1134	711894.5494
1135	710555.6528
1136	710197.9653
1137	710135.5166
1138	710037.5271
1139	709722.4508
1140	709469.2218
1141	709409.5764
1142	709255.0691
1143	709140.1105
1144	709036.8451
1145	708856.9376
1146	708793.4735
1147	708565.9501
1148	707580.4041
1149	707391.8761
1150	707125.9991
1151	707111.3268
1152	707066.9166
1153	706507.0342
1154	706402.0962
1155	706351.3471
1156	705826.5759
1157	705617.8129
1158	705391.0082
1159	705353.3814
1160	705307.9921
1161	705204.8758
1162	705106.7086
1163	705016.9373
1164	704236.2878
1165	704138.1522
1166	704093.0067
1167	704075.1437
1168	704035.6685
1169	703810.5111
1170	702683.2912
1171	702503.9678
1172	702403.1729
1173	702128.5775
1174	702108.3014
1175	701968.2071
1176	701797.8624
1177	701762.5004
1178	700462.3617
1179	700379.6498
1180	700227.6954
1181	699988.5621
1182	699748.6586
1183	699685.2104
1184	699128.0112
1185	698500.7101
1186	698369.5864
1187	698297.7809
1188	698183.7577
1189	698134.6979
1190	698045.6157
1191	697641.982
1192	696829.6912
1193	696771.9921
1194	696730.5753
1195	696568.47
1196	696525.1101
1197	696134.4272
1198	695961.3371
1199	695846.0417
1200	695792.1546
1201	695713.5879
1202	695639.963
1203	695597.2985
1204	695570.7484
1205	695481.8954
1206	695272.3555
1207	695012.277
1208	694979.9116
1209	694948.7789
1210	694909.7842
1211	694293.9457
1212	694253.8936
1213	694188.9209
1214	694157.3725
1215	693983.3579
1216	693958.2151
1217	693902.5911
1218	693202.6193
1219	693145.0644
1220	692873.8356
1221	692781.9062
1222	692712.1025
1223	692588.1038
1224	692516.3595
1225	692392.7618
1226	692334.4109
1227	692124.3682
1228	692040.6028
1229	692015.1898
1230	691559.5848
1231	691360.7091
1232	691232.4615
1233	690689.1123
1234	690562.6266
1235	690314.4569
1236	690230.9189
1237	690040.4039
1238	689887.1512
1239	689772.5115
1240	689727.7235
1241	689333.312
1242	689247.4613
1243	689020.741
1244	688697.3052
1245	688233.0252
1246	688123.4393
1247	688038.6899
1248	687989.0735
1249	687920.6461
1250	687827.8394
1251	687636.5463
1252	687456.2129
1253	687197.6572
1254	687112.763
1255	686505.18
1256	686291.1804
1257	686029.0607
1258	685955.9016
1259	685499.165
1260	685242.5862
1261	685188.5494
1262	685031.4351
1263	684975.2992
1264	684898.1154
1265	684814.9217
1266	684701.904
1267	684458.3497
1268	684251.4932
1269	684159.2228
1270	684052.2017
1271	683762.9773
1272	683636.0099
1273	683328.4542
1274	683287.2774
1275	683087.687
1276	682973.6486
1277	682803.4086
1278	682771.621
1279	679805.7354
1280	679684.0331
1281	679653.4603
1282	679299.62
1283	679112.98
1284	679027.7371
1285	678985.4855
1286	678723.0986
1287	678669.5597
1288	678633.0301
1289	678555.2269
1290	678145.2129
1291	677952.3741
1292	677864.6968
1293	677783.9031
1294	677773.5718
1295	677733.1742
1296	677635.2455
1297	677342.9674
1298	677248.6238
1299	677239.7979
1300	677196.8244
1301	677120.5363
1302	677102.7825
1303	677066.0739
1304	676985.6533
1305	676973.2058
1306	676870.0889
1307	676821.6917
1308	676689.152
1309	676344.1056
1310	676280.7477
1311	676236.4633
1312	676233.4219
1313	676168.6865
1314	675766.4912
1315	675755.6542
1316	675681.2116
1317	675675.3263
1318	675247.9061
1319	675164.6639
1320	674849.8007
1321	674509.5236
1322	674235.9266
1323	674076.5025
1324	674059.1639
1325	673733.2689
1326	673641.3938
1327	673578.4199
1328	673276.053
1329	673259.3965
1330	673251.7928
1331	673182.9362
1332	673152.8114
1333	673091.5714
1334	672963.2032
1335	672896.7777
1336	672873.5023
1337	672807.0569
1338	672447.3218
1339	671941.5523
1340	671835.0975
1341	671790.137
1342	671726.7063
1343	670782.7221
1344	670636.8159
1345	670351.1438
1346	670306.6763
1347	670098.5395
1348	669145.1813
1349	669108.5161
1350	669006.4681
1351	668918.9575
1352	668781.4974
1353	668756.5134
1354	668742.8803
1355	668485.7984
1356	668449.8576
1357	668305.8594
1358	668300.7998
1359	668185.2713
1360	668179.1065
1361	667990.8661
1362	667948.0666
1363	667893.4646
1364	667810.91
1365	667757.5094
1366	667547.4457
1367	667530.1053
1368	667513.4993
1369	667453.1854
1370	667311.226
1371	667205.8203
1372	667141.3769
1373	666921.2261
1374	666891.3759
1375	666742.3244
1376	666407.211
1377	666328.4369
1378	666188.7086
1379	665975.1009
1380	665847.3313
1381	665785.258
1382	665712.4566
1383	665253.6622
1384	665228.0777
1385	665193.282
1386	665083.7252
1387	665031.793
1388	664993.3672
1389	664892.787
1390	664850.8348
1391	664776.2572
1392	664685.0999
1393	664663.2902
1394	664653.5489
1395	664545.707
1396	664428.1246
1397	664393.6467
1398	664366.2348
1399	664282.4073
1400	664206.1696
1401	664182.6956
1402	664036.0432
1403	663995.6718
1404	663933.3609
1405	663526.7093
1406	663489.0749
1407	663068.6374
1408	662902.8143
1409	662772.3543
1410	662718.0166
1411	662681.4601
1412	662464.6069
1413	662357.1316
1414	662293.5528
1415	661930.6812
1416	661808.7462
1417	661707.0045
1418	661512.3468
1419	661197.8324
1420	660763.2324
1421	660725.6857
1422	660537.8337
1423	660502.7
1424	660353.634
1425	659664.6886
1426	659508.5892
1427	659384.8306
1428	659272.7256
1429	659253.1033
1430	659175.6749
1431	659156.4864
1432	658974.7638
1433	658876.8916
1434	658864.605
1435	658845.719
1436	658750.564
1437	658699.2817
1438	658555.9381
1439	658336.5432
1440	658265.0856
1441	658224.6529
1442	657551.1029
1443	657432.4852
1444	657409.2476
1445	656787.9954
1446	656623.7444
1447	656439.5946
1448	656374.3292
1449	656239.4724
1450	656183.5696
1451	655705.8757
1452	655635.0472
1453	655518.3847
1454	655497.7277
1455	655311.4256
1456	655271.4977
1457	655236.8072
1458	655133.7786
1459	655085.8768
1460	654885.0047
1461	654208.1513
1462	654165.1632
1463	654068.7681
1464	654034.5354
1465	653964.2833
1466	653790.9415
1467	653765.1932
1468	653759.913
1469	653680.6246
1470	653579.9535
1471	653508.5852
1472	653479.2576
1473	653453.5128
1474	652810.2511
1475	652648.337
1476	652558.3635
1477	652504.0513
1478	652427.1431
1479	652327.802
1480	652250.7113
1481	652176.9189
1482	652157.7931
1483	652102.3972
1484	652064.1616
1485	651513.2521
1486	651342.8089
1487	651254.2662
1488	651229.6683
1489	651167.3183
1490	651100.4246
1491	651084.8504
1492	650430.6793
1493	650329.7324
1494	650255.7346
1495	649882.6548
1496	649839.819
1497	649802.6422
1498	649750.2601
1499	649600.2171
