classifier,base,top,base_rmse,sr_rmse,base_std,sr_std,train_rmse_base,train_rmse_top
lightgbm,catboost,gradient_boosting,744878.6058040925,657668.9064790709,136497.08944595215,106008.84414505982,192759.36301311755,794964.5842305706
xgb,catboost,gradient_boosting,744878.6058040925,658242.335330915,136497.08944595215,105848.80312785486,192759.36301311755,794964.5842305706
gradient_boosting,catboost,gradient_boosting,744878.6058040925,658660.2592934208,136497.08944595215,105470.9732831885,192759.36301311755,794964.5842305706
random_forest,lightgbm,gradient_boosting,727429.4874905053,658670.2621774419,156815.26980197724,103672.32811139476,174925.22849869766,794964.5842305706
catboost,catboost,gradient_boosting,744878.6058040925,659190.7606799265,136497.08944595215,105518.25676365526,192759.36301311755,794964.5842305706
xgb,lightgbm,gradient_boosting,727429.4874905053,659625.0835157101,156815.26980197724,104710.21835746919,174925.22849869766,794964.5842305706
lightgbm,lightgbm,gradient_boosting,727429.4874905053,659991.1383690538,156815.26980197724,104854.44451287994,174925.22849869766,794964.5842305706
gradient_boosting,lightgbm,gradient_boosting,727429.4874905053,660785.1120322088,156815.26980197724,104313.5326005813,174925.22849869766,794964.5842305706
catboost,lightgbm,gradient_boosting,727429.4874905053,661283.0454763492,156815.26980197724,104391.31829786778,174925.22849869766,794964.5842305706
lightgbm,random_forest,gradient_boosting,791190.0170562931,664018.2514331127,120913.45605716086,104141.93067350183,298351.22231750767,794964.5842305706
xgb,random_forest,gradient_boosting,791190.0170562931,664277.1219704533,120913.45605716086,103505.15033886461,298351.22231750767,794964.5842305706
gradient_boosting,random_forest,gradient_boosting,791190.0170562931,665326.2724105943,120913.45605716086,103160.30585689638,298351.22231750767,794964.5842305706
lightgbm,xgb,gradient_boosting,797715.5457271275,665800.6269285727,144114.76071180342,107757.77558345324,233470.35245795004,794964.5842305706
random_forest,xgb,gradient_boosting,797715.5457271275,665828.8790742824,144114.76071180342,105350.502821771,233470.35245795004,794964.5842305706
catboost,random_forest,gradient_boosting,791190.0170562931,665922.1585820046,120913.45605716086,103131.8131232061,298351.22231750767,794964.5842305706
xgb,xgb,gradient_boosting,797715.5457271275,666610.9083755517,144114.76071180342,107306.65757625716,233470.35245795004,794964.5842305706
gradient_boosting,xgb,gradient_boosting,797715.5457271275,666892.2392948495,144114.76071180342,106392.44810514175,233470.35245795004,794964.5842305706
random_forest,random_forest,gradient_boosting,791190.0170562931,667100.7942740242,120913.45605716086,100792.66350400574,298351.22231750767,794964.5842305706
catboost,xgb,gradient_boosting,797715.5457271275,667212.9695489751,144114.76071180342,106081.6707447321,233470.35245795004,794964.5842305706
lightgbm,gradient_boosting,gradient_boosting,681669.6647698468,674554.8517975494,117441.95274694164,103166.96487761583,316817.36838980997,794964.5842305706
gradient_boosting,gradient_boosting,gradient_boosting,681669.6647698468,675944.4096868265,117441.95274694164,102226.14794337298,316817.36838980997,794964.5842305706
xgb,gradient_boosting,gradient_boosting,681669.6647698468,675947.8618573209,117441.95274694164,102838.47661672873,316817.36838980997,794964.5842305706
catboost,gradient_boosting,gradient_boosting,681669.6647698468,676557.2919218203,117441.95274694164,102386.86552968668,316817.36838980997,794964.5842305706
random_forest,gradient_boosting,gradient_boosting,681669.6647698468,677321.4059813563,117441.95274694164,101508.21557223744,316817.36838980997,794964.5842305706
random_forest,catboost,random_forest,744878.6058040925,798422.9813406485,136497.08944595215,116532.73885317902,192759.36301311755,1299098.3977485497
random_forest,lightgbm,random_forest,727429.4874905053,802151.2830346803,156815.26980197724,113297.28991199775,174925.22849869766,1299098.3977485497
xgb,catboost,random_forest,744878.6058040925,803347.1368952722,136497.08944595215,112416.20440935082,192759.36301311755,1299098.3977485497
lightgbm,catboost,random_forest,744878.6058040925,803561.3700215851,136497.08944595215,112888.57523119792,192759.36301311755,1299098.3977485497
xgb,lightgbm,random_forest,727429.4874905053,804336.8953616655,156815.26980197724,111770.47893212989,174925.22849869766,1299098.3977485497
lightgbm,lightgbm,random_forest,727429.4874905053,805344.8086110371,156815.26980197724,112413.88926195199,174925.22849869766,1299098.3977485497
catboost,catboost,random_forest,744878.6058040925,806187.5292190881,136497.08944595215,113302.72142744117,192759.36301311755,1299098.3977485497
gradient_boosting,catboost,random_forest,744878.6058040925,806375.3083019452,136497.08944595215,112756.17136965926,192759.36301311755,1299098.3977485497
random_forest,xgb,random_forest,797715.5457271275,807982.5692044995,144114.76071180342,116338.73487301946,233470.35245795004,1299098.3977485497
catboost,lightgbm,random_forest,727429.4874905053,808147.8488980125,156815.26980197724,112851.93733993513,174925.22849869766,1299098.3977485497
gradient_boosting,lightgbm,random_forest,727429.4874905053,808176.9477155512,156815.26980197724,112502.75600691747,174925.22849869766,1299098.3977485497
lightgbm,random_forest,random_forest,791190.0170562931,808809.7844221527,120913.45605716086,111575.69379596796,298351.22231750767,1299098.3977485497
xgb,random_forest,random_forest,791190.0170562931,808954.5091007042,120913.45605716086,110742.5270682188,298351.22231750767,1299098.3977485497
lightgbm,xgb,random_forest,797715.5457271275,810284.3015942613,144114.76071180342,114296.93246460691,233470.35245795004,1299098.3977485497
lightgbm,catboost,lightgbm,744878.6058040925,810286.0380453516,136497.08944595215,136896.22485292758,192759.36301311755,245292.44152385526
random_forest,catboost,lightgbm,744878.6058040925,810309.268352187,136497.08944595215,142070.10823273688,192759.36301311755,245292.44152385526
xgb,xgb,random_forest,797715.5457271275,810488.6509152481,144114.76071180342,113669.23697515792,233470.35245795004,1299098.3977485497
xgb,catboost,lightgbm,744878.6058040925,811485.4111902539,136497.08944595215,137809.86786451642,192759.36301311755,245292.44152385526
lightgbm,lightgbm,lightgbm,727429.4874905053,811990.4161449614,156815.26980197724,138254.86846814526,174925.22849869766,245292.44152385526
gradient_boosting,random_forest,random_forest,791190.0170562931,812226.0829011311,120913.45605716086,110903.69909154151,298351.22231750767,1299098.3977485497
gradient_boosting,catboost,lightgbm,744878.6058040925,812313.7428866797,136497.08944595215,136880.8204263738,192759.36301311755,245292.44152385526
catboost,random_forest,random_forest,791190.0170562931,812341.2722443576,120913.45605716086,111388.88914218514,298351.22231750767,1299098.3977485497
xgb,lightgbm,lightgbm,727429.4874905053,813051.5973097587,156815.26980197724,138958.8524266802,174925.22849869766,245292.44152385526
catboost,xgb,random_forest,797715.5457271275,813497.3856844428,144114.76071180342,114152.21923631102,233470.35245795004,1299098.3977485497
gradient_boosting,xgb,random_forest,797715.5457271275,813601.9057355635,144114.76071180342,113938.04976982,233470.35245795004,1299098.3977485497
catboost,catboost,lightgbm,744878.6058040925,813918.2539898588,136497.08944595215,139399.98974353788,192759.36301311755,245292.44152385526
gradient_boosting,lightgbm,lightgbm,727429.4874905053,814312.5263133779,156815.26980197724,138591.85086422093,174925.22849869766,245292.44152385526
random_forest,lightgbm,lightgbm,727429.4874905053,814586.8740230285,156815.26980197724,140233.02513155615,174925.22849869766,245292.44152385526
lightgbm,random_forest,lightgbm,791190.0170562931,815252.4995139937,120913.45605716086,136004.39233528587,298351.22231750767,245292.44152385526
random_forest,random_forest,random_forest,791190.0170562931,815441.4754481558,120913.45605716086,110176.00013993107,298351.22231750767,1299098.3977485497
xgb,random_forest,lightgbm,791190.0170562931,815847.6126936898,120913.45605716086,137517.76783784476,298351.22231750767,245292.44152385526
catboost,lightgbm,lightgbm,727429.4874905053,816021.7693701845,156815.26980197724,140710.13523926443,174925.22849869766,245292.44152385526
lightgbm,xgb,lightgbm,797715.5457271275,817115.7706926278,144114.76071180342,137672.02194947668,233470.35245795004,245292.44152385526
gradient_boosting,random_forest,lightgbm,791190.0170562931,817188.6271964784,120913.45605716086,136592.40122630002,298351.22231750767,245292.44152385526
lightgbm,gradient_boosting,random_forest,681669.6647698468,817404.5283499823,117441.95274694164,110489.35030239263,316817.36838980997,1299098.3977485497
random_forest,gradient_boosting,random_forest,681669.6647698468,817790.9367450725,117441.95274694164,112748.74484763005,316817.36838980997,1299098.3977485497
