classifier,base,top,base_rmse,sr_rmse,base_std,sr_std,train_rmse_base,train_rmse_top
random_forest,catboost,catboost,964164.990673601,730801.2296209015,178640.9251074058,115501.61354755762,667115.5751144408,1428251.551353422
catboost,lightgbm,catboost,964931.2542350758,731044.9151632298,165911.1096702663,118192.52548595873,834377.3541158752,1428251.551353422
random_forest,lightgbm,catboost,964931.2542350758,734630.9566457096,165911.1096702663,113879.46910680775,834377.3541158752,1428251.551353422
catboost,catboost,catboost,964164.990673601,734765.2488934139,178640.9251074058,116267.44338791032,667115.5751144408,1428251.551353422
catboost,xgb,catboost,1061688.323073985,737689.5694954495,162643.09969947822,116683.16719141856,782846.826820687,1428251.551353422
random_forest,xgb,catboost,1061688.323073985,743328.6823858101,162643.09969947822,111624.70511235503,782846.826820687,1428251.551353422
random_forest,catboost,xgb,964164.990673601,781563.4862818863,178640.9251074058,133828.11852314926,667115.5751144408,2179884.2008493217
catboost,lightgbm,xgb,964931.2542350758,784236.8546202042,165911.1096702663,132468.9928827428,834377.3541158752,2179884.2008493217
random_forest,lightgbm,xgb,964931.2542350758,786911.5163650666,165911.1096702663,132158.42708388504,834377.3541158752,2179884.2008493217
catboost,catboost,xgb,964164.990673601,787580.8147053476,178640.9251074058,131443.2303728735,667115.5751144408,2179884.2008493217
catboost,xgb,xgb,1061688.323073985,790402.442343984,162643.09969947822,132499.20204641583,782846.826820687,2179884.2008493217
random_forest,xgb,xgb,1061688.323073985,795277.5921436734,162643.09969947822,131798.93574374483,782846.826820687,2179884.2008493217
random_forest,catboost,lightgbm,964164.990673601,946984.3702013257,178640.9251074058,175414.7102692043,667115.5751144408,3224829.6883129766
catboost,lightgbm,lightgbm,964931.2542350758,950351.1536527716,165911.1096702663,173246.9680772381,834377.3541158752,3224829.6883129766
catboost,catboost,lightgbm,964164.990673601,952931.4415503081,178640.9251074058,172717.88222650692,667115.5751144408,3224829.6883129766
random_forest,lightgbm,lightgbm,964931.2542350758,952988.7418991603,165911.1096702663,169674.78417244443,834377.3541158752,3224829.6883129766
catboost,xgb,lightgbm,1061688.323073985,955441.8430550878,162643.09969947822,173483.56302836564,782846.826820687,3224829.6883129766
random_forest,xgb,lightgbm,1061688.323073985,959955.4972572904,162643.09969947822,169492.6284707677,782846.826820687,3224829.6883129766
